date,open,high,low,close,volume
2019-01-02,59.24,59.52,58.62,59.25,4559380
2019-01-03,59.19,59.99,58.87,58.97,4156101
2019-01-04,59.11,59.55,58.86,59.52,7087636
2019-01-07,59.44,60.46,59.31,59.88,4575201
2019-01-08,60.02,60.95,60.02,60.55,5614447
2019-01-09,61.97,62.23,60.96,61.3,6284048
2019-01-10,61.02,61.87,60.72,61.82,3983108
2019-01-11,62.26,62.54,61.75,62.1,2616913
2019-01-14,61.81,62.04,61.37,61.61,3887355
2019-01-15,61.65,62.51,61.6,62.22,2580272
2019-01-16,61.85,62.33,61.7,62.13,3017607
2019-01-17,62.12,62.5,61.91,62.0,3549435
2019-01-18,62.43,63.7,62.33,62.63,5200352
2019-01-22,62.13,62.45,61.05,61.74,5542155
2019-01-23,61.93,62.53,61.64,62.35,4038121
2019-01-24,62.17,62.25,61.27,62.2,6024264
2019-01-25,60.96,63.6,60.96,61.84,8479650
2019-01-28,61.71,62.84,61.6,62.74,5768156
2019-01-29,62.7,63.8,62.7,63.69,4593274
2019-01-30,63.66,64.34,63.46,63.95,6663945
2019-01-31,63.76,64.85,63.44,64.68,6182959
2019-02-01,64.9,65.25,64.2,65.05,5314498
2019-02-04,65.29,65.43,64.61,65.19,3612628
2019-02-05,65.27,65.55,64.64,64.74,4255313
2019-02-06,64.52,65.5,64.5,65.33,3474744
2019-02-07,64.84,65.38,64.55,65.05,3145267
2019-02-08,64.92,65.69,64.75,65.69,3040096
2019-02-11,65.59,65.84,65.34,65.79,4212823
2019-02-12,66.11,66.48,65.48,66.02,4450443
2019-02-13,65.9,66.15,65.5,65.94,3505536
2019-02-14,65.63,65.86,65.33,65.45,2501550
2019-02-15,66.0,66.54,65.8,66.48,5370604
2019-02-19,66.44,67.0,66.12,66.72,4584035
2019-02-20,66.85,67.11,66.22,66.51,3458619
2019-02-21,66.47,66.93,66.25,66.7,3765590
2019-02-22,66.71,67.47,66.46,66.9,4025037
2019-02-25,67.0,67.36,66.4,66.52,2939722
2019-02-26,66.65,66.9,66.14,66.49,2922518
2019-02-27,66.05,66.34,65.76,65.87,3378300
2019-02-28,66.03,66.19,65.43,65.87,4128704
2019-03-01,65.92,66.06,65.36,66.0,2712495
2019-03-04,66.31,66.33,65.44,66.03,3352207
2019-03-05,66.06,66.18,65.55,65.72,3483924
2019-03-06,65.72,65.91,65.12,65.61,2764200
2019-03-07,65.24,65.74,64.78,65.34,4365743
2019-03-08,65.43,65.81,64.94,65.35,2586534
2019-03-11,65.3,65.89,65.22,65.85,2722626
2019-03-12,65.97,66.39,65.59,65.74,2502889
2019-03-13,65.81,66.61,65.81,66.52,3894668
2019-03-14,66.44,66.65,66.06,66.25,3293678
2019-03-15,66.36,67.205,66.2,67.2,6641099
2019-03-18,67.25,67.35,66.1,66.29,2939881
2019-03-19,66.21,66.21,65.43,65.75,4623640
2019-03-20,65.88,65.88,64.89,65.11,3788918
2019-03-21,65.0,65.95,64.95,65.83,2793885
2019-03-22,65.78,66.44,65.2,66.0,2877604
2019-03-25,65.91,66.47,65.83,66.26,2972614
2019-03-26,66.61,67.31,66.47,66.92,2297353
2019-03-27,67.03,67.35,66.47,67.01,2918888
2019-03-28,67.12,67.56,67.12,67.37,2958910
2019-03-29,67.5,68.61,67.37,68.54,4598707
2019-04-01,68.38,68.52,67.83,68.3,4139666
2019-04-02,68.21,68.68,67.79,68.37,3130014
2019-04-03,68.22,68.27,67.57,67.82,3791271
2019-04-04,68.0,68.0,67.25,67.55,2541781
2019-04-05,67.54,67.92,67.46,67.92,1980980
2019-04-08,68.05,68.18,67.76,68.02,1678084
2019-04-09,67.81,68.14,67.6,68.11,2102092
2019-04-10,68.05,68.39,67.82,68.11,2023128
2019-04-11,68.31,68.48,67.75,68.09,2508903
2019-04-12,68.01,68.77,67.69,68.77,3849748
2019-04-15,68.51,68.89,68.43,68.71,2907540
2019-04-16,68.72,69.27,68.72,69.04,3183379
2019-04-17,68.89,68.96,68.55,68.68,2633637
2019-04-18,69.0,69.39,68.77,69.35,3369043
2019-04-22,69.37,70.06,69.35,69.6,3901732
2019-04-23,69.33,69.78,68.87,69.01,3388006
2019-04-24,68.59,69.48,68.21,68.86,3600898
2019-04-25,68.5,68.97,68.04,68.69,3191205
2019-04-26,69.58,71.495,69.48,71.3,5955955
2019-04-29,71.25,71.58,70.79,71.38,3383888
2019-04-30,71.51,72.85,71.23,72.79,4050229
2019-05-01,72.08,72.47,71.24,71.29,3919146
2019-05-02,71.31,71.93,71.23,71.82,2209916
2019-05-03,71.86,72.06,71.58,71.95,2436733
2019-05-06,71.53,71.78,71.2,71.69,2383322
2019-05-07,71.27,71.58,69.55,70.51,4125462
2019-05-08,70.62,71.5,70.05,70.99,3273890
2019-05-09,70.74,71.08,70.31,70.85,2415238
2019-05-10,70.56,71.58,70.28,71.5,2341211
2019-05-13,70.88,71.65,70.6,71.56,2601252
2019-05-14,71.5,71.97,71.13,71.15,2855367
2019-05-15,71.18,71.43,70.99,71.34,4454371
2019-05-16,71.75,73.1,71.58,72.5,3581306
2019-05-17,71.96,72.35,71.72,71.97,2764157
2019-05-20,72.08,72.58,71.59,71.7,3149855
2019-05-21,71.71,71.91,71.49,71.53,2538183
2019-05-22,71.27,71.65,71.02,71.53,3862508
2019-05-23,71.37,71.78,71.11,71.75,2855124
2019-05-24,71.9,72.0,71.14,71.2,2267794
2019-05-28,71.29,71.61,70.08,70.11,3327695
2019-05-29,69.92,70.22,69.66,69.97,3580193
2019-05-30,70.2,70.88,70.2,70.85,1834352
2019-05-31,70.51,70.66,69.44,69.62,3031345
2019-06-03,69.7,70.8,69.59,70.69,3652223
2019-06-04,71.01,71.27,70.535,70.82,3757633
2019-06-05,71.12,71.95,70.64,71.92,2675365
2019-06-06,72.11,73.25,72.06,73.11,3866466
2019-06-07,73.2,74.14,73.13,73.99,3453807
2019-06-10,73.86,74.09,72.87,73.03,3190980
2019-06-11,73.19,73.35,72.78,73.33,3184717
2019-06-12,73.63,74.09,72.85,73.05,3229982
2019-06-13,73.08,73.2,71.99,72.75,2944575
2019-06-14,72.87,73.48,72.76,73.35,2591897
2019-06-17,73.35,73.58,72.8,73.41,2702217
2019-06-18,73.98,74.06,72.68,72.89,2677131
2019-06-19,72.7,73.625,72.3824,73.53,3096515
2019-06-20,73.81,74.12,73.305,73.6,2754531
2019-06-21,73.68,74.0,72.88,72.95,6209350
