date,open,high,low,close,volume
2019-08-13,50.255,53.035,50.12,52.2425,190159144
2019-08-14,50.79,51.61,50.6475,50.6875,146189772
2019-08-15,50.865,51.285,49.9175,50.435,111533452
2019-08-16,51.07,51.79,50.96,51.625,115254496
2019-08-19,52.655,53.1825,52.5075,52.5875,97727660
2019-08-20,52.72,53.3375,52.58,52.59,107678116
2019-08-21,53.2475,53.4125,52.9,53.16,86258988
2019-08-22,53.2975,53.61,52.6875,53.115,89071276
2019-08-23,52.3575,53.0125,50.25,50.66,187531372
2019-08-26,51.465,51.7975,51.265,51.6225,104264520
2019-08-27,51.965,52.1375,50.8825,51.04,103589376
2019-08-28,51.025,51.43,50.83,51.3825,63830528
2019-08-29,52.125,52.33,51.665,52.2525,84030608
2019-08-30,52.54,52.6125,51.8,52.185,84650244
2019-09-03,51.6075,51.745,51.055,51.425,80238296
2019-09-04,52.0975,52.37,51.83,52.2975,76867280
2019-09-05,53.0,53.4925,52.8775,53.32,95787936
2019-09-06,53.5125,53.605,53.1275,53.315,77449176
2019-09-09,53.71,54.11,52.7675,53.5425,109237604
2019-09-10,53.465,54.195,52.9275,54.175,127111724
2019-09-11,54.5175,55.9275,54.4325,55.8975,177158584
2019-09-12,56.2,56.605,55.715,55.7725,128906676
2019-09-13,55.0,55.1975,54.255,54.6875,159053184
2019-09-16,54.4325,55.0325,54.39,54.975,84632564
2019-09-17,54.99,55.205,54.78,55.175,73545872
2019-09-18,55.265,55.7125,54.86,55.6925,102572372
2019-09-19,55.5025,55.94,55.0925,55.24,88751504
2019-09-20,55.345,55.64,54.3675,54.4325,231908376
2019-09-23,54.7375,54.96,54.4125,54.68,77678592
2019-09-24,55.2575,55.6225,54.2975,54.42,125737468
2019-09-25,54.6375,55.375,54.285,55.2575,89924024
2019-09-26,55.0,55.235,54.7075,54.9725,76353248
2019-09-27,55.135,55.24,54.32,54.705,101445140
2019-09-30,55.225,56.145,55.1975,55.9925,105274332
2019-10-01,56.2675,57.055,56.05,56.1475,144748652
2019-10-02,55.765,55.895,54.4825,54.74,143069028
2019-10-03,54.6075,55.24,53.7825,55.205,121410744
2019-10-04,56.41,56.8725,55.9725,56.7525,139022212
2019-10-07,56.5675,57.4825,56.46,56.765,123557076
2019-10-08,56.455,57.015,56.0825,56.1,117130800
2019-10-09,56.7575,56.9475,56.41,56.7575,76117696
2019-10-10,56.9825,57.61,56.825,57.5225,115851936
2019-10-11,58.2375,59.41,58.0775,59.0525,167960840
2019-10-14,58.725,59.5325,58.6675,58.9675,97653936
2019-10-15,59.0975,59.4125,58.72,58.83,92161932
2019-10-16,58.3425,58.81,58.3,58.5925,77146776
2019-10-17,58.7725,59.0375,58.38,58.82,69091588
2019-10-18,58.6475,59.395,58.5725,59.1025,96992092
2019-10-21,59.38,60.2475,59.33,60.1275,87246268
2019-10-22,60.29,60.55,59.905,59.99,90736004
2019-10-23,60.525,60.81,60.305,60.795,79730180
2019-10-24,61.1275,61.2,60.4525,60.895,71665020
2019-10-25,60.79,61.6825,60.72,61.645,73477184
2019-10-28,61.855,62.3125,61.68,62.2625,94621472
2019-10-29,62.2425,62.4375,60.6425,60.8225,142839468
2019-10-30,61.19,61.325,60.3025,60.815,124522088
2019-10-31,61.81,62.2925,59.315,62.19,139162080
2019-11-01,62.385,63.9825,62.29,63.955,151125336
2019-11-04,64.3325,64.4625,63.845,64.375,103271808
2019-11-05,64.2625,64.5475,64.08,64.2825,79897708
2019-11-06,64.1925,64.3725,63.8425,64.31,75864496
2019-11-07,64.685,65.0875,64.5275,64.8575,94940332
2019-11-08,64.6725,65.11,64.2125,65.035,70081980
2019-11-11,64.575,65.6175,64.57,65.55,82029836
2019-11-12,65.3875,65.6975,65.23,65.49,87388904
2019-11-13,65.2825,66.195,65.2675,66.1175,103270372
2019-11-14,65.9375,66.22,65.525,65.66,89582224
2019-11-15,65.92,66.445,65.7525,66.44,100374664
2019-11-18,66.45,66.8575,66.0575,66.775,86803588
2019-11-19,66.975,67.0,66.3475,66.5725,76278388
2019-11-20,66.385,66.52,65.1,65.7975,106439676
2019-11-21,65.9225,66.0025,65.295,65.5025,121395112
2019-11-22,65.6475,65.795,65.21,65.445,65325052
2019-11-25,65.6775,66.61,65.63,66.5925,84118068
2019-11-26,66.735,66.79,65.625,66.0725,105339528
2019-11-27,66.395,66.995,66.3275,66.96,65544488
2019-11-29,66.65,67.0,66.475,66.8125,46617452
2019-12-02,66.8175,67.0625,65.8625,66.04,94774200
2019-12-03,64.5775,64.8825,64.0725,64.8625,117509072
2019-12-04,65.2675,65.8275,65.17,65.435,67241552
2019-12-05,65.9475,66.4725,65.6825,66.395,74645372
2019-12-06,66.87,67.75,66.825,67.6775,106189972
2019-12-09,67.5,67.7,66.2275,66.73,128730580
2019-12-10,67.15,67.5175,66.465,67.12,90529532
2019-12-11,67.2025,67.775,67.125,67.6925,78893564
2019-12-12,66.945,68.14,66.83,67.865,137748168
2019-12-13,67.865,68.825,67.7325,68.7875,133731224
2019-12-16,69.25,70.1975,69.245,69.965,128324420
2019-12-17,69.8925,70.4425,69.7,70.1025,114303192
2019-12-18,69.95,70.475,69.78,69.935,116098748
2019-12-19,69.875,70.295,69.7375,70.005,98507788
2019-12-20,70.5575,70.6625,69.64,69.86,276130972
2019-12-23,70.1325,71.0625,70.0925,71.0,98711532
2019-12-24,71.1725,71.2225,70.73,71.0675,48478856
2019-12-26,71.205,72.495,71.175,72.4775,93336016
2019-12-27,72.78,73.4925,72.03,72.45,146371744
2019-12-30,72.365,73.1725,71.305,72.88,144238456
2019-12-31,72.4825,73.42,72.38,73.4125,100990500
2020-01-02,74.06,75.15,73.7975,75.0875,135647456
2020-01-03,74.2875,75.145,74.125,74.3575,146535512
2020-01-06,73.4475,74.99,73.1875,74.95,118578576
2020-01-07,74.96,75.225,74.37,74.5975,111510620
2020-01-08,74.29,76.11,74.29,75.7975,132363784
2020-01-09,76.81,77.6075,76.55,77.4075,170486168
2020-01-10,77.65,78.1675,77.0625,77.5825,140869088
2020-01-13,77.91,79.2675,77.7875,79.24,120114968
2020-01-14,79.175,79.3925,78.0425,78.17,162613828
2020-01-15,77.9625,78.875,77.3875,77.835,121923528
2020-01-16,78.3975,78.925,78.0225,78.81,108829016
2020-01-17,79.0675,79.685,78.75,79.6825,137816468
2020-01-21,79.2975,79.755,79.0,79.1425,108940156
2020-01-22,79.645,79.9975,79.3275,79.425,101832460
2020-01-23,79.48,79.89,78.9125,79.8075,104471972
2020-01-24,80.0625,80.8325,79.38,79.5775,146537520
2020-01-27,77.515,77.9425,76.22,77.2375,161940020
2020-01-28,78.15,79.6,78.0475,79.4225,162233944
2020-01-29,81.1125,81.9625,80.345,81.085,216599712
2020-01-30,80.135,81.0225,79.6875,80.9675,126743232
2020-01-31,80.2325,80.67,77.0725,77.3775,199588384
2020-02-03,76.075,78.3725,75.555,77.165,173985604
2020-02-04,78.8275,79.91,78.4075,79.7125,136616536
2020-02-05,80.88,81.19,79.7375,80.3625,118826872
2020-02-06,80.6425,81.305,80.065,81.3025,105425540
2020-02-07,80.5925,80.85,79.5,80.0075,117684048
2020-02-10,78.545,80.3875,78.4625,80.3875,109348860
2020-02-11,80.9,80.975,79.6775,79.9025,94323120
2020-02-12,80.3675,81.805,80.3675,81.8,113730292
2020-02-13,81.0475,81.555,80.8375,81.2175,94747568
2020-02-14,81.185,81.495,80.7125,81.2375,80113788
2020-02-18,78.84,79.9375,78.6525,79.75,152762180
2020-02-19,80.0,81.1425,80.0,80.905,93983964
2020-02-20,80.6575,81.1625,79.5525,80.075,100565956
2020-02-21,79.655,80.1125,77.625,78.2625,129705660
2020-02-24,74.315,76.045,72.3075,74.545,222195312
2020-02-25,75.2375,75.6325,71.5325,72.02,230673456
2020-02-26,71.6325,74.47,71.625,73.1625,198713724
2020-02-27,70.275,71.5,68.24,68.38,320605524
2020-02-28,64.315,69.6025,64.0925,68.34,426884920
2020-03-02,70.57,75.36,69.43,74.7025,341397356
2020-03-03,75.9175,76.0,71.45,72.33,319475408
2020-03-04,74.11,75.85,73.2825,75.685,219178272
2020-03-05,73.88,74.8875,72.8525,73.23,187572876
2020-03-06,70.5,72.705,70.3075,72.2575,226176984
2020-03-09,65.9375,69.5225,65.75,66.5425,286744832
2020-03-10,69.285,71.61,67.3425,71.335,285290080
2020-03-11,69.3475,70.305,67.965,68.8575,256379880
2020-03-12,63.985,67.5,62.0,62.0575,418474068
2020-03-13,66.2225,69.98,63.2375,69.4925,370732128
2020-03-16,60.4875,64.77,60.0,60.5525,322423460
2020-03-17,61.8775,64.4025,59.6,63.215,324055860
2020-03-18,59.9425,62.5,59.28,61.6675,300233624
2020-03-19,61.8475,63.21,60.6525,61.195,271857020
2020-03-20,61.795,62.9575,57.0,57.31,401693384
2020-03-23,57.02,57.125,53.1525,56.0925,336752832
2020-03-24,59.09,61.9225,58.575,61.72,287531092
2020-03-25,62.6875,64.5625,61.075,61.38,303602040
2020-03-26,61.63,64.67,61.59,64.61,252560676
2020-03-27,63.1875,63.9675,61.7625,61.935,204216612
2020-03-30,62.685,63.88,62.35,63.7025,167976440
2020-03-31,63.9,65.6225,63.0,63.5725,197002004
2020-04-01,61.625,62.18,59.7825,60.2275,176218552
2020-04-02,60.085,61.2875,59.225,61.2325,165933972
2020-04-03,60.7,61.425,59.7425,60.3525,129880068
2020-04-06,62.725,65.7775,62.345,65.6175,201820284
2020-04-07,67.7,67.925,64.75,64.8575,202887324
2020-04-08,65.685,66.8425,65.3075,66.5175,168895284
2020-04-09,67.175,67.5175,66.175,66.9975,162116492
2020-04-13,67.0775,68.425,66.4575,68.3125,131022924
2020-04-14,70.0,72.0625,69.5125,71.7625,194994688
2020-04-15,70.6,71.5825,70.1575,71.1075,131154564
2020-04-16,71.845,72.05,70.5875,71.6725,157125160
2020-04-17,71.1725,71.7375,69.215,70.7,215249912
2020-04-20,69.4875,70.42,69.2125,69.2325,130015000
2020-04-21,69.07,69.3125,66.3575,67.0925,180991572
2020-04-22,68.4025,69.475,68.05,69.025,117057368
2020-04-23,68.9675,70.4375,68.7175,68.7575,124814328
2020-04-24,69.3,70.7525,69.25,70.7425,126508732
2020-04-27,70.45,71.135,69.9875,70.7925,117087572
2020-04-28,71.27,71.4575,69.55,69.645,112004748
2020-04-29,71.1825,72.4175,70.9725,71.9325,137280816
2020-04-30,72.49,73.6325,72.0875,73.45,183063872
2020-05-01,71.5625,74.75,71.4625,72.2675,240616700
2020-05-04,72.2925,73.4225,71.58,73.29,133567944
2020-05-05,73.765,75.25,73.615,74.39,147751180
2020-05-06,75.115,75.81,74.7175,75.1575,142333752
2020-05-07,75.805,76.2925,75.4925,75.935,115215056
2020-05-08,76.41,77.5875,76.0725,77.5325,134047940
2020-05-11,77.025,79.2625,76.81,78.7525,145946244
2020-05-12,79.4575,79.9225,77.7275,77.8525,162301052
2020-05-13,78.0375,78.9875,75.8025,76.9125,200622556
2020-05-14,76.1275,77.4475,75.3825,77.385,158929076
2020-05-15,75.0875,76.975,75.0525,76.9275,166348376
2020-05-18,78.2925,79.125,77.58,78.74,135372500
2020-05-19,78.7575,79.63,78.2525,78.285,101729540
2020-05-20,79.17,79.88,79.13,79.8075,111504860
2020-05-21,79.665,80.2225,78.9675,79.2125,102688844
2020-05-22,78.9425,79.8075,78.8375,79.7225,81803016
2020-05-26,80.875,81.06,79.125,79.1825,125521816
2020-05-27,79.035,79.6775,78.2725,79.5275,112945096
2020-05-28,79.1925,80.86,78.9075,79.5625,133796412
2020-05-29,79.8125,80.2875,79.1175,79.485,153598128
2020-06-01,79.4375,80.5875,79.3025,80.4625,81018612
2020-06-02,80.1875,80.86,79.7325,80.835,87642816
2020-06-03,81.165,81.55,80.575,81.28,104491216
2020-06-04,81.0975,81.405,80.195,80.58,87560364
2020-06-05,80.8375,82.9375,80.8075,82.875,137250200
2020-06-08,82.5625,83.4,81.83,83.365,95654536
2020-06-09,83.035,86.4025,83.0025,85.9975,147712364
2020-06-10,86.975,88.6925,86.5225,88.21,166651752
2020-06-11,87.3275,87.765,83.87,83.975,201662452
2020-06-12,86.18,86.95,83.555,84.7,200146052
2020-06-15,83.3125,86.42,83.145,85.7475,138808920
2020-06-16,87.865,88.3,86.18,88.02,165428728
2020-06-17,88.7875,88.85,87.7725,87.8975,114406504
2020-06-18,87.8525,88.3625,87.305,87.9325,96820384
2020-06-19,88.66,89.14,86.2875,87.43,264475808
2020-06-22,87.835,89.865,87.7875,89.7175,135445264
2020-06-23,91.0,93.095,90.5675,91.6325,212155476
2020-06-24,91.25,92.1975,89.63,90.015,192623396
2020-06-25,90.175,91.25,89.3925,91.21,137522512
2020-06-26,91.1025,91.33,88.255,88.4075,205256844
2020-06-29,88.3125,90.5434,87.82,90.445,130646076
2020-06-30,90.02,91.495,90.0,91.2,140223284
2020-07-01,91.28,91.84,90.9775,91.0275,110761816
2020-07-02,91.9625,92.6175,90.91,91.0275,115258064
2020-07-06,92.5,93.945,92.4675,93.4625,118983744
2020-07-07,93.8525,94.655,93.0575,93.1725,112827996
2020-07-08,94.18,95.375,94.09,95.3425,117097916
2020-07-09,96.2625,96.3175,94.6725,95.7525,125681428
2020-07-10,95.335,95.98,94.705,95.92,90257320
2020-07-13,97.265,99.955,95.2575,95.4775,191652316
2020-07-14,94.84,97.255,93.8775,97.0575,170992476
2020-07-15,98.99,99.2475,96.49,97.725,153227496
2020-07-16,96.5625,97.405,95.905,96.5225,110583708
2020-07-17,96.9875,97.1475,95.84,96.3275,92187020
2020-07-20,96.4175,98.5,96.0625,98.3575,89588832
2020-07-21,99.1725,99.25,96.7425,97.0,102509388
2020-07-22,96.6925,97.975,96.6025,97.2725,89001652
2020-07-23,96.998375,97.0775,92.00975,92.845,197004432
2020-07-24,90.9875,92.97,89.145,92.615,185438864
2020-07-27,93.71,94.905,93.48,94.81,121214192
2020-07-28,94.3675,94.54965,93.2475,93.2525,103625500
2020-07-29,93.75,95.23,93.7125,95.04,90329256
2020-07-30,94.1875,96.2975,93.7675,96.19,158130020
2020-07-31,102.88375,106.415,100.825,106.26,374295468
2020-08-03,108.2,111.636425,107.8925,108.9375,308151388
2020-08-04,109.1325,110.79,108.3875,109.665,172792368
2020-08-05,109.3775,110.3925,108.8975,110.0625,121991952
2020-08-06,110.405,114.4125,109.7975,113.9025,202428900
2020-08-07,113.205,113.675,110.2925,111.1125,198045612
2020-08-10,112.6,113.775,110.0,112.7275,212403424
2020-08-11,111.96875,112.4825,109.106675,109.375,187902376
2020-08-12,110.4975,113.275,110.2975,113.01,165944820
2020-08-13,114.43,116.0425,113.9275,115.01,210082064
2020-08-14,114.82875,115.0,113.045,114.9075,165565208
2020-08-17,116.0625,116.0875,113.962525,114.6075,117725656
2020-08-18,114.3525,116.0,114.0075,115.5625,105633540
2020-08-19,115.98325,117.1625,115.61,115.7075,145538008
2020-08-20,115.75,118.392,115.733375,118.275,126907188
2020-08-21,119.2625,124.868,119.25,124.37,338054640
2020-08-24,128.6975,128.785,123.93625,125.8575,345937768
2020-08-25,124.6975,125.1793,123.0525,124.825,211495788
2020-08-26,126.179125,126.9925,125.0825,126.5225,163022268
2020-08-27,127.1425,127.485,123.8325,125.01,155552384
2020-08-28,126.0125,126.4425,124.5775,124.8075,187629916
2020-08-31,127.58,131.0,126.0,129.04,223505733
2020-09-01,132.76,134.8,130.53,134.18,152470142
2020-09-02,137.59,137.98,127.0,131.4,200118991
2020-09-03,126.91,128.84,120.5,120.88,257599640
2020-09-04,120.07,123.7,110.89,120.96,332607163
2020-09-08,113.95,118.99,112.68,112.82,231366563
2020-09-09,117.26,119.14,115.26,117.32,176940455
2020-09-10,120.36,120.5,112.5,113.49,182274391
2020-09-11,114.57,115.23,110.0,112.0,180860325
2020-09-14,114.72,115.93,112.8,115.355,140150087
2020-09-15,118.33,118.829,113.61,115.54,184642039
2020-09-16,115.23,116.0,112.04,112.13,155026675
2020-09-17,109.72,112.2,108.71,110.34,178010968
2020-09-18,110.4,110.88,106.09,106.84,287104882
2020-09-21,104.54,110.19,103.1,110.08,195713815
2020-09-22,112.68,112.86,109.16,111.81,183055373
2020-09-23,111.62,112.11,106.77,107.12,150718671
2020-09-24,105.17,110.25,105.0,108.22,167743349
2020-09-25,108.43,112.44,107.67,112.28,149981441
2020-09-28,115.01,115.32,112.78,114.96,137672403
2020-09-29,114.55,115.31,113.57,114.09,100060526
2020-09-30,113.79,117.26,113.62,115.81,142675184
2020-10-01,117.64,117.72,115.83,116.79,116120440
2020-10-02,112.89,115.37,112.22,113.02,144711986
2020-10-05,113.91,116.65,113.55,116.5,106243839
2020-10-06,115.7,116.12,112.25,113.16,161498212
2020-10-07,114.62,115.55,114.13,115.08,96848985
2020-10-08,116.25,116.4,114.5901,114.97,83477153
2020-10-09,115.28,117.0,114.92,116.97,100506865
2020-10-12,120.06,125.18,119.2845,124.4,240226769
2020-10-13,125.27,125.39,119.65,121.1,262330451
2020-10-14,121.0,123.03,119.62,121.19,151062308
2020-10-15,118.72,121.2,118.15,120.71,112559219
2020-10-16,121.28,121.548,118.81,119.02,115393808
2020-10-19,119.96,120.419,115.66,115.98,120639337
2020-10-20,116.2,118.98,115.63,117.51,124423728
2020-10-21,116.67,118.705,116.45,116.87,89945980
2020-10-22,117.45,118.04,114.59,115.75,101987954
2020-10-23,116.39,116.55,114.28,115.04,82572645
2020-10-26,114.01,116.55,112.88,115.05,111850657
2020-10-27,115.49,117.28,114.5399,116.6,92276772
2020-10-28,115.05,115.43,111.1,111.2,143937823
2020-10-29,112.37,116.93,112.2,115.32,146129173
2020-10-30,111.06,111.99,107.72,108.86,190573476
2020-11-02,109.11,110.68,107.32,108.77,122866899
2020-11-03,109.66,111.49,108.73,110.44,107624448
2020-11-04,114.14,115.59,112.35,114.95,138235482
2020-11-05,117.95,119.62,116.8686,119.03,126387074
2020-11-06,118.32,119.2,116.13,118.69,114457922
2020-11-09,120.5,121.99,116.05,116.32,154515315
2020-11-10,115.55,117.59,114.13,115.97,138023390
2020-11-11,117.19,119.63,116.44,119.49,112294954
2020-11-12,119.62,120.53,118.57,119.21,103350674
2020-11-13,119.44,119.6717,117.87,119.26,81688586
2020-11-16,118.92,120.99,118.146,120.3,91183018
2020-11-17,119.55,120.6741,118.96,119.39,74270973
2020-11-18,118.61,119.82,118.0,118.03,76322111
2020-11-19,117.59,119.06,116.81,118.64,74112972
2020-11-20,118.64,118.77,117.29,117.34,73604287
2020-11-23,117.18,117.6202,113.75,113.85,127959318
2020-11-24,113.91,115.85,112.59,115.17,113226248
2020-11-25,115.55,116.75,115.17,116.03,76499234
2020-11-27,116.57,117.49,116.22,116.59,46691331
2020-11-30,116.97,120.97,116.81,119.05,169410176
2020-12-01,121.01,123.4693,120.01,122.72,125920963
2020-12-02,122.02,123.37,120.89,123.08,89004195
2020-12-03,123.52,123.78,122.21,122.94,78967630
